id,RequirementText,NFR
417,Izogn Administrator must be able to add new products to the  within 2 .,1
418,The  will provide a 24 hour 800 toll free  for support to its customers.,1
419,The  will provide a help section with answers and solutions to common problems.,1
420,Ve saff   avalable fr phne ppr ween - M-F  prvde echncal ppr   Izgn admnsrars.,1
421,The  shall be  to be installed in the specified environment within 1 working .,1
422,Only registered customers can purchase streaming movies.,1
423,A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,1
424,Only  personnel  access customer records in the database.,1
425,Only administrators  activate a pre-paid card.,1
426,Only  personnel  access sales information.,1
427,The  shall prevent its data from being corrupted when incorrect data is entered in.,1
428,The    itself from intentional abuse and  the administrator at  occurrences.,1
429,Data integrity scripts will  run on a weekly basis  verify the integrity of the .,1
430,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,1
431,The   not customers  changes to its  policy.,1
432,The    private information only in compliance with the organization’s information .,1
433,All   will be stored on a secure database accessible only to authorized personnel.,1
434,All    will be ented in the database.,1
435,The streaming   have anti-virus software to prevent infection of  .,1
436,The website should cater to all tribes in Nigeria.,1
437,The      to religious or ethnic groups.,1
438,The  should appeal to all Africans not only Nigerians.,1
439,The  should use Flash to provide animation on the home page.,1
440,IzogMo  meet the licesig requiremets set forth by the appropriate orgaizatios i order to stream Africa mo.,1
441,The  ill comply ith WC standards.,1
442,The PHP  will comply with PEAR .,1
443,The    customers to search for movies by title actor or director.,0
444,   detils the  will disply the s description ctor nd director entered in  the dministrtor.,0
445,Website   and ize credit  payment before allowing a user to stream a .,0
446, b abl to stram rchasd movi via Windows Mdia Playr for up to 2 days r rchas dat.,0
447,Website  allow customers to browse movies by categories entered in by izogn .,0
448,Website  allow customers to view  of selected movies by other customers.,0
449,Website  allow customers to add their own movie review for a selected movie.,0
450,Website  allow the In administrator to approve a review posted by a .,0
451,System  allow customers to pay for a streaming movie with a pre-paid .,0
452,Website  allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment .,0
453,System  automatically update the main page of the website every Friday and show the 4 latest movies  have been added to the website.,0
454,System  allow users to update their billing and contact information via the “My Account” section of the website.,0
455,Pre   be distributed via email or via a printed paper .,0
456,Only registered customers can purchase streaming movies.,0
457,Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,0
458,Website must be  to support free trial periods with various parameters set by the Izogn Manager.,0
459,All    will be logged in the  and accessible by the .,0
460,All  customer   be stored and maintained in the database even after the customer s their account.,0
461,Daily    be logged and accessible by the administrator.,0
462,The   have free access to all of the streaming .,0
463,No   will complete in a time period longer than 25 seconds for 97% of all s .,1
464,For leads that  longer than 25  the  will record the event  ,1
465,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,1
466,The    will operate within the established physical web service structure.,1
467,The    use a non binding neutral data  such  xml when receiving and ing lead data.,1
468,Defect  will be available to technical units on a  .,1
469,Washing  will be updated during scheduled maintenance .,1
470,The   verify the invalid .,0
471,Vendor   a credit validation  to be applied to the enterprise billing system.,0
472,If a lead    the   the system will supply the lead data and score  the enterpre system.,0
473,The leads  functionality  validate all leads received by the web service for valid ,0
474,The leads washing functionality  insert all leads captured by the web service.,0
475,If       high   n it will be process by  ARA functionality.,0
476,If the   falls  the  average   will be set for manual verication by an Enrollment Coordinator through the e system.,0
477,If the     the low  then it will be returned to the supplying vendor,0
478,The leads washing  will  both contact and academic scoring information for a total .,0
479,The   functionality will use the parameters supplied by corporate and schools to score part of the .,0
480,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,0
481,The   functionality  have an  in which lead data parameters can  maintained.,0
482,The   functionality  verify the users authentication and rights to make  updates.,0
483,The  washing functionality  store any potential lead s returned by the enterprise .,0
484,Prior to ting the lead to the enterprise system the  washing functionality will assign the lead to an admissions rep.,0
485,The  wahing functionality  receive a period lit of available  from the enterprie ytem.,0
486,The  shall simulate the look of ships at .,1
487,The  shall display the s within a circle as a view from a is.,1
488,The  shall display each type of ship in a grid using an image of the specific type of ship.,1
489,When the offensive   a  the  shall simulate the sound of a ship at .,1
490,When a shot is marked as a  the  shall simulate the sound of a shot ing its target.,1
491,When a shot is marked as a hit the  shall simulate the sound of a shot hitting its .,1
492,When a ship is sunk the  shall simulate the sound of a sinking ship.,1
493,The   be available 24 hours per day seven days per week.,1
494,The    to handle a large number of  .,1
495,The  time shall be fast enough to maintain the flow of the game. The  time shall be no more than 2 seconds for 95% of s and no more than 4% for the remaining s.,1
496,The   protect the identity of the s. The   provide s no access to information that might reveal the identity of another .,1
497,The   be intuitive and -expl Nine out ten   be able to successfully complete a game with no training,1
498,The product shall be available to players who understand English Spanish and French The product shall allow the user to select the language upon ing the product,1
499,The  shall provide s no access to information that might reveal the identity of another ,1
500,The  time shall be fast enough to maintain the flow of the game. The  time shall be no more than 2 seconds for 95% of s and no more than 4% for the remaining s.,1
501,The product shall maintain a list of players.,0
502,The   allow a user to identify himself or herself as a ,0
503,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,0
504,The   allow a user to remove himself or herself from the list of players at any time.,0
505,The product shall make inactive players unavailable for selection from the list of players.,0
506,The  shall remove players who have been inactive for 24 hours from the list of players.,0
507,The product  allow a player to initiate a game by selecting another available player from the list of .,0
508,Once a game is initiated the   display a defensive grid to each ,0
509,Once a game is initiated the   display an offensive grid to each .,0
510,The   prevent a player from viewing the offve or ve  of the  player,0
511,Once a game i initiated the product  allow each player to poition their 5 hip on their repective defenive .,0
512,The   allow a player to position ships horizontally on their .,0
513,The   allow the player to position ships vertically on their .,0
514,The   allow the player to position ships ly on their grid,0
515,The   prevent the player from overlapping ships on their .,0
516,When both  have poition  5  on    the product hall define the tatu of each player for the firt .,0
517,For each turn the product  identify one player as offensive status and one player as defensive status.,0
518,The product shall maintain the status of each player for a turn either offensive or defensive.,0
519,At  start of each turn    not each player of his or her .,0
520,For  turn the product  allow the offensive player to define a shot.,0
521,For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,0
522,For each shot the product  not the players whether the shot was a hit or miss.,0
523,For  shot the   mark the shot as a hit or miss on the defensive grid of the defensive .,0
524,For each shot the product  mark the shot as a hit or miss on the offensive grid of the offensive .,0
525,When the   in sinking a ship the   not the players that the ship was sunk.,0
526,When the hit  in  a ship the   mark the ship as sunk on the defensive grid of the defensive .,0
527,When the   in sinking a ship the   indicate the type of ship sunk on the defensive grid of the defensive .,0
528,When the hit  in sinking a ship the   mark the ship as sunk on the offensive grid of the offensive .,0
529,If the shot was  as a hit the product  allow the offensive player to define a shot.,0
530,If the shot was marked as a miss the   change the status of the offensive player to defensive,0
531,If the shot was marked as a miss the   change the status of the defensive player to offensive,0
532,The product  continue to assign turns until the game is ended.,0
533,The    a game when a hit by the offensive player results in sinking the lt of the defensive players ships which had not been previously marked  .,0
534,The   allow a player to end a game at any time during the game.,0
535,When a game is  the product  not the  that the game is .,0
536,The   the game    the reason the game is ended (i.e. a player has won the game or a player has ended the game).,0
537,When  gme   the product  llow ech plyer to identify himself or herself s n vilble plyer in the lt  plyers.,0
538,When a game  ended the product  allow each player to remove himself or herself from the lt  .,0
539,The system   easy to use by callers and supervisors Callers and supervisors must   to accomplish any system task within  ,1
540,The system   easy to learn by s and . Callers and   learn how to use the system within  .,1
541,The     At the DePaul TeleServices Center  a supervisor uses the  to view a s  the  response time must  no more than 2 seconds % of the time and no more than 5 seconds the rest of the time,1
542,On a  connection the  response  for all operations must  no more than 6 seconds 90 of the .,1
543,On a     the  response  f all operations must be no me than 3 seconds 90 of the .,1
544,The  shall have high availability every day of the year.The  must be available for use between :AM and 6:PM all days of the year.,1
545,The     for  tween :AM and :PM all days of the year.,1
546,The  shall  internet  independent.The   run using Internet Explorer and Netscape Navigator.,1
547,The  shall ensure that only supervisors can advertise empty time The   ensure that supervisors are allowed to access advertise empty time ,1
548,The  shall ensure that only supervisors can enter a caller’s scheduleThe  must ensure that supervisors are allowed to access advertise empty time slots,1
549,The  shall ensure that only supervisors can view schedule of all callers.The   ensure that supervisors are allowed to access advertise empty  slots.,1
550,The interface shall have a simple look In the interface and bility  90% of beta ers must report that the interface is adequately simple,1
551,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,1
552,The   provide GUI  Monitoring ServicesSystem Administrators  monitor message exchanges  predict and  problems and  also provide internal and external support,1
553,The  shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,1
554,The  shall provide Monitoring Services.The  shall  easy for System Administrators and DBAs to use after two   .,1
555,The  shall provide Error Tracking Services.The  shall help the System Administrators and DBAs to resolve transaction errors 99 of the .,1
556,The  shall provide Portals.The  shall help System Administrators to analyze the transactions with ad-hoc reporting  KPIs Key Performance Indicators,1
557,The  shall provide As MessagingThe  shall provide  messaging to enable parallel processing and reduce the overhead in ,1
558,The product shall provide Multi-ing and Load BalancingThe product shall provide multi-ing technology as well as load balancing to overcome data load spikes and ,1
559,The  shall process messages within 2 .The  shall have a maximum message  time of 2 ,1
560,The  shall poll the system for messages every .The  shall poll the system for new messages at a maximum of every  .,1
561,The   provide Dynamic Change Support and Tranparent reource The   upport Tranparent Reource  and Dynamic Change upport to provide bility and avoid   of more than  ,1
562,The   be available 99% of the time Rationale To avoid service interruption during busiest customer service response  The   be available 9% of the time for  business ,1
563,The  shall be .The  shall have fault avoidance based on  .,1
564,The  shall  robust with fault toleranceThe  shall have fault tolerance by using recovery technique pensatory transaction and  around failures,1
565,The   be  to process all The   process minimum of 1 million   ,1
566,The  shall   independent.The  shall enable access to any type of development  and .,1
567,The    CSR and Datastream.The   exchange messages between CSR and EAM on a real time basis without any direct s between two systems.,1
568,The   continue to operate during upgrade change or new resource The   be able to continue to operate with no interruption in service due to new resource s,1
569,The  shall be updated on a regular basisThe  will have a new major feature introduced every  months and quarterly maintenance releases every  months,1
570,The  shall operate with every .The  shall accommodate any new technology without any change in  .,1
571,The  shall have The  shall provide authentication and authorization,1
572,The   information Security The   enable privacy by encryption WS-Security  Integrity Checking,1
573,The   have audit The   store messages for a minimum of one year for audit and transaction tracking ,1
574,The   use IBM and CCR branding  The  must have one IBM logo and one CCR logo,1
575,The   be display on any work computer a CCR user may have The  interface  be formatted to display at 800 by   resolution,1
576,The system  will use CCR nomenclature The system must use the same nomenclature used in the existing WCS system and ,1
577,The  must marize the data in a fashion that’s appealing to CCR management Every  type must have at least one high level mary shown in the  dashboard,1
578,The  must use a point and click interface  of   and navigation  must be  to be activated/selected by either a  or a ,1
579,The   be easy to use. 90% of  should be able to successfully use the system to generate a report on their first use. The  should  to IBM  .,1
580,Rrorts  be easy to generate orts  be generated within one button click and exported within one button click after  the rort,1
581,A   be  to use the system without instruction after a short amount of . After one use a  should understand and remember 90% of the system usage and .,1
582,All CCR uses  eceive taining befoe the WCS system is  One taining session will be held fo 100% of CCR uses befoe system  (based on a CCR use being available),1
583,The WCS   use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization All  and reports will undergo  tests by CCR users,1
584,The WCS  hall be available at all time a long a IBM’ internal  W i . The WCS   be available 95% of the time IBM’ internal  W i available.,1
585,The WCS   have the ability to connect other designated WCS databases currently not included in the .,1
586,The WCS ytem   the ability  include data for region ide the United State and  eed by uer ide of the United State if approved by CCR management.,1
587,The WCS  shall  run in a Windows  The WCS shall  accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating ,1
588,The Br portn of the WCS  mt   to export  in preadheet form Microoft Excel and Lot  ). Br will provide btton in the  intface that prodce/export report in . or .  .,1
589,The WCS    queie o he WCS daabae once again (on a pecified da) o updae he available daa available o CCR ue Queie   made o exenal daabae fo daa efeh once a week,1
590,All   and addition to the WCS y h  updated in the WCS Developer and WCS Uer Guide Every  t  reflected in WCS y ,1
591,The   only  aessed by authorized Corporate Community Grants (CCR) employees Users must   using ir IBM intranet user name and ,1
592,The WCS y  not allow automatic in by any uer Cookie containing WCS in  about a uer will not be d on a uer’ ,1
593,Each team owner  need to ue a name and   order to   to r the team owner’ ,1
594,The Commissioner   the only authorized user per league to adjust league .,1
595,Each page  contain a navigation menu which shows the index into which the current page is contained.,1
596,Each page  contain a similar format with action items in one location and navigation buttons in a different location.,1
597,The  board  contain the 5 most recently posted s on the league  The s will contain up to the first 150 characters of the ,1
598,The   ask the user to confirm dropping a player or trading a player before performing the .,1
599,The     to complete every user transaction within one fourth of a  of receiving the request over the .,1
600,The   have a down of at most 10 minutes per .,1
601,The application  run on a web application server.,1
602,A priry dte  be used to store cched dt for ctive users.,1
603,A  dtbse  be used to store historicl sttistics nd dt.,1
604,Applicaion   occur beween 3AM and 6 AM CST on Wednesday orning during he iddle of he NFL season.,1
605,New System  releases   released at the ginning of each NFL season.,1
606,98% of the user s shall meet the minimum ware requirements prior to implemen. Minimum Hard Disk Space: MB.,1
607,98% of the user s shall meet the minimum software requirements prior to implemen: Microsoft Inter Explorer .. Microsoft .NET Framework .. Microsoft Inter Explorer Web Controls,1
608,The intra  should display appropriately in all resolutions from  and  The display of all the  will be correct in 9% of the resolutions prior to  The remaining % will be corrected within a week of notification of the incorrect display,1
